year,event_detail
2022,"Designated Hitter: Beginning in 2022, the designated hitter will be in place in both the American and National Leagues. In an effort to afford additional flexibility to starting pitchers who bat for themselves, such players will be considered two separate people for the purposes of Rule 5.11(a). If the player is replaced as a starting pitcher, he can continue as the designated hitter, and if the designated hitter is replaced, he can continue as the starting pitcher."
2022,"Extra Innings Rule: In an effort to preserve player health and safety during the condensed schedule, the rule that each extra inning begins with a runner on second base has been restored for the 2022 season."
2022,"Active Roster Limits: From Opening Day through May 1st, the 26-player active Major League roster shall increase to 28 (including 29 players for any doubleheaders), and the limitation on the number of pitchers (13) on the active roster and the restriction on position players appearing as pitchers during a game shall not apply. On May 2nd, 26-man rosters, the limit on number of pitchers on the active roster, and the restriction of position players appearing as pitchers will resume."
2022,"Replay Announcements: For the first time, Major League umpires will conduct in-park announcements during the replay review process during the 2022 season, enhancing the ballpark and broadcast experiences. Training was conducted in Arizona and Florida this spring."
2022,"PitchCom Arrives: Starting in 2022, PitchCom will be available for Major League teams to utilize during games. The communication device will be available for up to five defensive players to use at a given time (including the pitcher and catcher). The catcher uses a transmitter to send signs to the pitcher, who wears a receiver in the band of his cap. Transmissions are encrypted, and Clubs are free to customize the audio as well as the configuration of the transmitter. The new form of communication was tested throughout Spring Training and received a significant amount of positive feedback from players."
2022,"The 2022 regular season features 31 scheduled doubleheaders, including 26 split doubleheaders and five of the traditional variety. All games part of doubleheaders in 2022 are scheduled as nine-inning games, following the implementation of seven-inning doubleheaders as part of health and safety protocols in 2020 and 2021."
2022,"Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022? Under the new format: The number 1 and number 2 seeds (division winners with the two best records) in each League will receive a bye during the Wild Card Round. The Wild Card Round will feature the number 3 seed (division winner with the third-best record) against the number 6 seed (third Wild Card Club) and the number 4 seed (first Wild Card Club) against the number 5 seed (second Wild Card Club) in each League. The Wild Card Round will be a best-of-three series with all games played at the site of the number 3 and 4 seeds, respectively. The Division Series will remain a 2-2-1 format with the number 1 seed facing the winner of the 4/5 Wild Card matchup, while the number 2 seed faces the winner of the 3/6 Wild Card matchup."
2022,"Where what happened yesterday
is being preserved today."
2023,"The World Baseball Classic was postponed due to the COVID-19 pandemic in 2021, but the latest Collective Bargaining Agreement indicated the officially sanctioned international baseball tournament would return in 2023, and did it ever. Twenty teams competed, major league baseball stars were encouraged to participate, record numbers of fans witnessed games, and in the end, Japan defeated the United States 3–2."
2023,"Queen Elizabeth II passed away on September 8, 2022. Subsequently, on May 6, 2023, the Coronation of King Charles III and Queen Camilla took place at Westminster Abbey in London, England."
2023,"The Minnesota Twins unveiled new logos and uniforms for the 2023 season. The updated Twins script, and uniform numbers, had no shadows or outlines on the home whites or away navy blues, which will serve as an alternate home uniform as well. They wore white pants at home and gray pinstripes on the road."
2023,"Management changes in the junior circuit included two General Manager changes; Scott Harris took over with the Detroit Tigers, and Justin Hollander is the new Seattle Mariners GM. In the dugout, Phil Nevin is no longer an interim skipper, and now has the helm with the Los Angeles Angels, John Schneider replaced Charlie Montoya as manager of the Toronto Blue Jays, Bruce Bochy replaced Chris Woodward with the Texas Rangers, and Pedro Grifol replaced the retiring hall of famer, Tony La Russa, with the Chicago White Sox."
2023,"The ""MLB World Tour"" continued in 2023, and this time it included the San Francisco Giants and San Diego Padres playing a two-game series at Alfredo Harp Helú Stadium in Mexico City, Mexico, on April 29-30, 2023. And the St. Louis Cardinals and Chicago Cubs played a two-game series at London Stadium in London, England, on June 24-25, 2023."
2023,"Management changes in the senior circuit included Pete Putila taking over as General Manager of the San Francisco Giants. In the dugout, Rob Thomson is no longer an interim skipper, and now has the Philadelphia Phillies Manager title, and Skip Schumaker took over for Don Mattingly with the Miami Marlins."
2023,"On November 14, 2022, the Arizona Diamondbacks revealed a new anniversary logo, which was worn as a patch on their jerseys in 2023. The commemorative patch is marking the 25th anniversary of the franchise."
2023,"The MLB at Field of Dreams game was not played in 2023, due to the construction of a new youth baseball and softball complex at the Field of Dreams site in Dyersville, Iowa."
2023,"Three major rule changes took place in 2023; a pitch clock was introduced, infield shifts were severely restricted, and all three bases increased in size from 15 to 18 inches."
2023,"Major League Baseball and the Major League Baseball Players Association announced via Press Release (excerpts below) SEVERAL rule changes that will be in place during the 2023 baseball season, including:"
2023,"Pitch Clock Implementation: A standardized period of 30 seconds between batters within each half-inning. A timer between pitches of 15 seconds with the bases empty, and 20 seconds with at least one runner on base. The pitcher must start his motion before the expiration of the pitch timer. A violation will result in an automatic ball. The batter must be in the box and alert to the pitcher with no less than eight seconds remaining. A violation will result in an automatic strike. With runners on base, the timer resets if the pitcher attempts a pickoff or steps off the rubber (collectively called a ""disengagement""). Only two disengagements are allowed per plate appearance; however, this count resets if a baserunner advances. Mound visits, injury timeouts, and offensive team timeouts do not count against this. On a third disengagement, an unsuccessful pickoff attempt will cause that runner to advance one base. If a team has used up all of its allowed five mound visits by the ninth inning, it receives an extra visit in the ninth. Umpires can provide extra time if circumstances warrant."
2023,"Infield Shift Restrictions: The defensive team must have no fewer than four players in infield positions, with at least two on each side of second base. All infielders must have both feet on or inside the outer edge of the marked infield while the pitcher is on the rubber. Infielders cannot switch sides of the infield before a pitch is released. If infielders are improperly aligned at the time of the pitch, the offensive team may choose to accept the result of the play, or receive an automatic ball."
2023,"A new balanced schedule was introduced in 2023, where every team will play every other team at least once during the regular season. It also includes 13 games against division rivals and 52 games overall against division opponents. Each team will play six games against six opponents, and seven games against four opponents in the same league, for a total of 64 games, as well as 46 interleague games."
2023,"Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022 — giving us more participating postseason teams in 2023? Under the new format: The number 1 and number 2 seeds (division winners with the two best records) in each League will receive a bye during the Wild Card Round. The Wild Card Round will feature the number 3 seed (division winner with the third-best record) against the number 6 seed (third Wild Card Club) and the number 4 seed (first Wild Card Club) against the number 5 seed (second Wild Card Club) in each League. The Wild Card Round will be a best-of-three series with all games played at the site of the number 3 and 4 seeds, respectively. The Division Series will remain a 2-2-1 format with the number 1 seed facing the winner of the 4/5 Wild Card matchup, while the number 2 seed faces the winner of the 3/6 Wild Card matchup."
2023,"Where what happened yesterday
is being preserved today."
2024,"A new initiative, set forth by Major League Baseball, called MLB Spring Breakout will make its debut in 2024. Each franchise will put together a team of their best prospects to compete against other organization's prospects during a series of games, scheduled from March 14 to March 17, 2024."
2024,"Two former New York Mets players, Dwight Gooden and Darryl Strawberry, will each have their numbers retired. Doc will have his number (16) retired by the Mets on April 14, 2024, and The Straw Man will have his number (18) retired by the Mets on June 1, 2024."
2024,"Major League Baseball owners unanimously approved (November 16, 2024) the franchise request to relocate the Oakland Athletics, to Las Vegas, Nevada, in 2028."
2024,"The Boston Red Sox and Tampa Bay Rays played a spring training two-game series at Estadio Quisqueya, on March 9–10, 2024, the first Major League Baseball games ever played in the Dominican Republic."
2024,"Management changes in the junior circuit included three General Manager changes; Rick Hahn was fired by the Chicago White Sox, and replaced with Chris Getz; Brian O'Halloran was reassigned by the Boston Red Sox, and replaced with Craig Breslow; Peter Bendix, the Tampa Bay Rays GM, was hired by the Miami Marlins. In the dugout, the Angels did not pick up their option on Phil Nevin, and replaced him with Ron Washington; Terry Francona was reassigned by the Guardians, and Stephen Vogt was his replacement; and future hall of famer, Dusty Baker, retired as skipper of the Astros, Joe Espada took over at the helm."
2024,"The New York Mets and Philadelphia Phillies are scheduled to participate in the MLB World Tour, playing a two-game series in London, England, on June 8–9, 2024, in London Stadium."
2024,"Management changes in the senior circuit included two General Manager changes; Billy Eppler was reassigned by the New York Mets, and replaced by David Stearns; and Kim Ng was reassigned by the Marlins, who hired the Rays GM (Peter Bendix). Managerial changes included; Bob Melvin taking over with the San Francisco Giants; Buck Showalter getting fired by the New York Mets, and replaced with Carlos Mendoza; San Diego Padres lost Melvin to the Giants, and named Mike Shildt their new skipper; the Milwaukee Brewers contract with Craig Counsell expired on November 1, 2023, and he left to the Chicago Cubs, prompting the Brew Crew to replace him at the helm with Pat Murphy."
2024,"The Arizona Diamondbacks unveiled a new uniform set, adding teal as a full-time accent color. Cream returned as the base color on the home uniforms for the first time since 2006, as is the alternate ""D-snake"" logo. Sand was removed entirely from the uniforms, except for the ""City Connect"" uniform."
2024,"The MLB World Tour continued in 2024, and this time it included the Los Angeles Dodgers and the San Diego Padres playing a two-game series in Seoul, South Korea, on March 20–21, 2024, in the Gocheok Sky Dome."
2024,Four major rule changes took place in 2024; the pitch clock was reduced from twenty seconds to eighteen seconds; mound visits were reduced from five per game to four; the runner's lane was widened to include the dirt between the foul line and infield grass; and any pitcher who is sent out to warm up for an inning must face at least one batter.
2024,"Major League Baseball and the Major League Baseball Players Association announced via Press Release (excerpts below) SEVERAL rule changes that will be in place during the 2023 baseball season, including:"
2024,"Pitch Clock Implementation: A standardized period of 30 seconds between batters within each half-inning. A timer between pitches of 15 seconds with the bases empty, and 20 seconds with at least one runner on base. The pitcher must start his motion before the expiration of the pitch timer. A violation will result in an automatic ball. The batter must be in the box and alert to the pitcher with no less than eight seconds remaining. A violation will result in an automatic strike. With runners on base, the timer resets if the pitcher attempts a pickoff or steps off the rubber (collectively called a ""disengagement""). Only two disengagements are allowed per plate appearance; however, this count resets if a baserunner advances. Mound visits, injury timeouts, and offensive team timeouts do not count against this. On a third disengagement, an unsuccessful pickoff attempt will cause that runner to advance one base. If a team has used up all of its allowed five mound visits by the ninth inning, it receives an extra visit in the ninth. Umpires can provide extra time if circumstances warrant."
2024,"Infield Shift Restrictions: The defensive team must have no fewer than four players in infield positions, with at least two on each side of second base. All infielders must have both feet on or inside the outer edge of the marked infield while the pitcher is on the rubber. Infielders cannot switch sides of the infield before a pitch is released. If infielders are improperly aligned at the time of the pitch, the offensive team may choose to accept the result of the play, or receive an automatic ball."
2024,"A new balanced schedule was introduced in 2023, where every team will play every other team at least once during the regular season. It also includes 13 games against division rivals and 52 games overall against division opponents. Each team will play six games against six opponents, and seven games against four opponents in the same league, for a total of 64 games, as well as 46 interleague games."
2024,"Did you know that the number of teams eligible for the postseason increased from 10 to 12 in 2022 — giving us more participating postseason teams in 2023? Under the new format: The number 1 and number 2 seeds (division winners with the two best records) in each League will receive a bye during the Wild Card Round. The Wild Card Round will feature the number 3 seed (division winner with the third-best record) against the number 6 seed (third Wild Card Club) and the number 4 seed (first Wild Card Club) against the number 5 seed (second Wild Card Club) in each League. The Wild Card Round will be a best-of-three series with all games played at the site of the number 3 and 4 seeds, respectively. The Division Series will remain a 2-2-1 format with the number 1 seed facing the winner of the 4/5 Wild Card matchup, while the number 2 seed faces the winner of the 3/6 Wild Card matchup."
2024,"Where what happened yesterday
is being preserved today."
2025,"Los Angeles faced a series of devastating wildfires in 2025, including the Palisades and Eaton fires, which erupted on January 7. These fires were fueled by severe drought conditions and hurricane-force Santa Ana winds, reaching speeds of up to 100 mph. Over 57,000 acres were burned, and more than 18,000 structures were destroyed or damaged. Tragically, at least 29 lives were lost, and over 200,000 residents were forced to evacuate. The Eaton Fire became the most destructive in Los Angeles history, while the Palisades Fire caused widespread devastation in Pacific Palisades and Malibu."
2025,"The World Expo 2025, hosted in Osaka, Japan, is themed ""Designing Future Society for Our Lives."" Running from April 13 to October 13, it features pavilions from 158 countries and 42 international organizations, showcasing innovations in sustainability, technology, and cultural exchange. The event is divided into eight zones, each focusing on global challenges and solutions, and serves as a ""People's Living Lab"" for co-creating ideas to address humanity's pressing issues. Held on Yumeshima Island, the Expo emphasizes collaboration and the potential of cutting-edge technology to shape a better future."
2025,"Donald Trump was inaugurated as the 47th President of the United States on January 20, 2025, marking his return to the presidency after losing the 2020 election. This makes Trump the second U.S. President in history to serve non-consecutive terms, following Grover Cleveland, who was both the 22nd and 24th president. Cleveland lost his re-election bid in 1888 but returned to defeat Benjamin Harrison in 1892."
2025,"The Oakland Athletics began playing their home games at Sutter Health Park in Sacramento for the 2025 MLB season. This move follows the expiration of their lease at the Oakland Coliseum and serves as a temporary arrangement until their new stadium in Las Vegas is completed, projected for 2028. Sutter Health Park, a Triple-A ballpark with a capacity of around 14,000, offers a more intimate setting compared to the Coliseum. Despite fan frustrations over the relocation, ticket sales have surged, reflecting a mix of curiosity and support for the team during this transitional period. The Athletics remain committed to their identity, choosing not to adopt a ""Sacramento"" moniker during their stay."
2025,"The Tampa Bay Rays are playing their 2025 regular-season home games at Steinbrenner Field — a capacity of around 11,000 — in Tampa, Florida, the spring training facility of the New York Yankees. This temporary relocation was necessitated by extensive damage to Tropicana Field caused by Hurricane Milton in October 2024. The storm tore off the stadium's roof and caused significant interior damage, rendering it unplayable for the 2025 season. Repairs are estimated to cost $55 million, with the goal of reopening Tropicana Field by 2026."
2025,"For the 2025 MLB season, the Cleveland Guardians unveiled refined uniforms that honor their history while embracing a fresh design. The home whites now feature Guardians in a horizontal script and updated red-blue-red piping, paired with a new red hat with a blue bill. The road grays retain the Cleveland lettering but adopt matching piping. The red alternate jersey showcases Guardians in Bridge Print font with blue-white-blue piping, while the navy alternate jersey displays the""Diamond C logo as a nod to early team uniforms. These updates modernize their look while preserving a connection to the team's legacy."
2025,"The 2025 MLB Tokyo Series features the Los Angeles Dodgers and Chicago Cubs, kicking off the season with two games at the Tokyo Dome on March 18 and 19. This historic event highlights Japanese baseball talent, including Shohei Ohtani, Yoshinobu Yamamoto, and Roki Sasaki for the Dodgers, and Seiya Suzuki and Shota Imanaga for the Cubs. The series celebrates Japan's deep connection to baseball, showcasing the sport's global appeal and inspiring fans with a homecoming for its star players. It also marks the first all-Japanese pitching matchup on MLB Opening Day, further emphasizing Japan's influence on the game."
2025,"The New York Mets will retire David Wright's iconic No. 5 in a ceremony on July 19, 2025, at Citi Field. Wright, often referred to as Captain America, spent his entire career with the Mets and is celebrated for his leadership, seven All-Star appearances, and numerous franchise records."
2025,"During the 2025 MLB Spring Training, the league tested the Automated Ball-Strike System (ABS), a hybrid approach combining human umpiring with Hawk-Eye technology. In this system, umpires made initial calls on balls and strikes, but players—specifically the batter, pitcher, or catcher—could challenge these calls. Each team was allowed two challenges per game, with successful challenges not counting against the limit. Hawk-Eye technology tracked the pitch's trajectory and strike zone, providing instant feedback on the accuracy of the call."
2025,"In 2025, ESPN and Major League Baseball (MLB) mutually agreed to end their decades-long broadcast partnership after the conclusion of the season. This decision followed a March 1 deadline for both parties to opt out of the final three years of their contract, which was originally set to run through 2028. MLB cited dissatisfaction with ESPN's reduced baseball coverage and investment, while ESPN pointed to fiscal responsibility and shifting priorities in its live events portfolio. The partnership, which began in 1990, included iconic broadcasts like ""Sunday Night Baseball"" and exclusive rights to events such as the Home Run Derby and Wild Card Series."
2025,"Major League Baseball and the Major League Baseball Players Association announced via Press Release (excerpts below) SEVERAL rule changes that will be in place during the 2025 baseball season, including:"
2025,"Infield Shift Violation: If a team violates the previously instituted ban on the infield shift, which requires a minimum of two infielders on either side of second base, the batter will be given first base and runners will be able to advance one base. Previously the penalty for violating the ban was an automatic ball. Teams will continue to have the ability to decline the penalty and accept the results of the play."
2025,"Instant Replay Change: Replay review will now be able to check whether or not a player overruns second or third base, and call them out for abandonment, even if that was not the subject of the original review."
2025,"Where what happened yesterday
is being preserved today."
2015,Top 25
2015,The National League started in 1876 and you can review every season in their history on our Year by Year baseball history menu.
2016,The National League started in 1876 and you can review every season in their history on our Year by Year baseball history menu.
2017,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
2017,"Scooter Gennett, on June 6, 2017, hit a grand slam in the third inning, a two-run homer in the fourth, a solo shot in the sixth, and another two-run homer in the eighth - the 17th player in Major League history, and the first from the Cincinnati Reds, to hit four home runs in a game."
2017,"San Francisco Giants ace, Madison Bumgarner, displayed his home run power by going deep twice on Opening Day, the first pitcher in Major League history to hit two home runs on Opening Day!"
2018,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - Botte, Peter. New York Daily News Staff Writer. MLB commissioner Rob Manfred says National League could implement DH by 2017. 21 January 2016."
2018,"Joe Panik etched his name in baseball history during the 2018 season with the Giants, achieving a remarkable feat never seen before in Major League play: he launched home runs in back-to-back season-opening 1-0 victories for his team on March 29 and March 30. A clutch performance for the record books!"
2018,"On April 10, 2018, Asdrubal Cabrera homered batting righty, then again lefty, in the same game - the twenty-second time the New York Mets have had a player accomplish the feat, most in National League history, second only behind the New York Yankees."
2018,"Did you know that Barry Bonds had his #25 retired by the San Francisco Giants on August 11, 2018 — the ninth player in franchise history (including time in New York) to have his number retired by the team?"
2019,"On March 29, 2019, Paul Goldschmidt, who was traded from the Arizona Diamondbacks to the St. Louis Cardinals during the off-season, became the first player in Major League history to hit three home runs in either his first or second game with a new team."
2019,"Did you know that Merrill Kelly and Jon Duplantier (Arizona Diamondbacks) were the first teammates in Major League history to make their major league debuts in the same game (April 1, 2019), with one pitcher earning the win and the other earning a save?"
2019,"The Los Angeles Dodgers set a Major League record for most home runs on Opening Day, crushing eight long balls on March 28, 2019."
2020,"""I mean, it's a little different because we just played 60 games and I didn't get to play all 60 games. I just feel good about it (winning the National League batting title) because you see how consistent you've got to be to win it. That means you've got to be consistent the whole two months. So, it just feels good."" - Juan Soto"
2020,"Luis Garcia made his big league debut on August 14, 2020. Three days later, on August 17, Garcia hit his first homer and became the first Major League player born in the 2000s with a home run!"
2020,"Did you know that when Ian Happ, Jason Heyward, and Kyle Schwarber each homered twice in the same game, on August 30, 2020, it was the first time in baseball history that a starting outfield trio had multi-homers in the same game?"
2020,"On September 13, 2020, Alec Mills struck out five hitters and walked three, throwing 74 of his 114 pitches for strikes, and completing the only National League no-hitter of the season."
2021,"On April 9, 2021, Joe Musgrove threw a no-hitter — the first no-hitter in the 53-year history of the San Diego Padres. Musgrove struck out 10 batters and did not walk a batter, throwing 77 of his 112 pitches as strikes. When Musgrove hit Joey Gallo with a pitch in the fourth inning, it ended his bid for a perfect game."
2021,"Did you know that when Trea Turner hit for the cycle on June 30, 2021, he became the fifth player in Major League history to hit for three cycles during their career? Those who preceded him were John Reilly, Bob Meusel, Babe Herman, and Adrian Beltre."
2021,"The 2021 Arizona Diamondbacks, on April 1, 2021, became the first team in baseball history to hit four home runs in the same inning during an Opening Day game!"
2022,"""I understand the job description. The job description here isn't to be competitive or try to win more games than you lose. It's to be the last team standing (in 2022)."" - Showalter, Buck. New York Mets Manager. Press Conference. 21 December 2021."
2023,"""Way-too-early Power Rankings, New Year's edition: 2. Mets. (Number one in the National League) This ranking is somewhat based on the assumption that eventually Carlos Correa will come to an agreement with the Mets, but as we've watched this play out, there's really no way of knowing where the shortstop (or is he a third baseman?) will land. Let's just say the Mets are our No. 2 pick based on a few seemingly strong free-agent signings and the fact that they were just really good in '22, despite how sourly the season ended. But be warned: Things can unravel for an older team, and the Mets are going to employ a starting rotation with a lot of miles on some of their arms."" - Footer, Alyson. MLB Staff Writer. Here are the first Power Rankings of 2023. 1 January 2023."
